0	-0.3859	-0.3045	0.3513	0.1667
3600	-0.3354	-0.2320	0.4392	0.2412
7200	-0.2449	-0.1160	0.5143	0.3292
10800	-0.1151	0.0352	0.5712	0.4224
14400	0.0453	0.2045	0.6017	0.5055
18000	0.2195	0.3685	0.5971	0.5598
21600	0.3862	0.5024	0.5499	0.5679
25200	0.5225	0.5850	0.4567	0.5174
28800	0.6093	0.6030	0.3194	0.4056
32400	0.6344	0.5540	0.1467	0.2403
36000	0.5951	0.4468	-0.0468	0.0396
39600	0.4990	0.2994	-0.2424	-0.1711
43200	0.3617	0.1354	-0.4197	-0.3639
46800	0.2039	-0.0212	-0.5600	-0.5135
50400	0.0471	-0.1509	-0.6494	-0.6022
54000	-0.0909	-0.2419	-0.6807	-0.6227
57600	-0.1987	-0.2919	-0.6545	-0.5794
61200	-0.2727	-0.3076	-0.5783	-0.4865
64800	-0.3169	-0.3016	-0.4649	-0.3644
68400	-0.3399	-0.2883	-0.3295	-0.2351
72000	-0.3523	-0.2798	-0.1870	-0.1172
75600	-0.3624	-0.2822	-0.0494	-0.0224
79200	-0.3736	-0.2939	0.0753	0.0465
82800	-0.3836	-0.3061	0.1839	0.0949
86400	-0.3843	-0.3054	0.2770	0.1336
90000	-0.3645	-0.2773	0.3565	0.1749
93600	-0.3134	-0.2113	0.4244	0.2282
97200	-0.2242	-0.1041	0.4804	0.2964
100800	-0.0970	0.0381	0.5212	0.3739
104400	0.0598	0.1998	0.5407	0.4480
108000	0.2299	0.3588	0.5308	0.5006
111600	0.3918	0.4905	0.4844	0.5134
115200	0.5231	0.5731	0.3971	0.4724
118800	0.6041	0.5920	0.2696	0.3723
122400	0.6229	0.5433	0.1092	0.2184
126000	0.5771	0.4348	-0.0708	0.0275
129600	0.4746	0.2844	-0.2524	-0.1758
133200	0.3321	0.1162	-0.4158	-0.3627
136800	0.1712	-0.0444	-0.5423	-0.5066
140400	0.0142	-0.1760	-0.6180	-0.5881
144000	-0.1203	-0.2650	-0.6359	-0.5989
147600	-0.2208	-0.3086	-0.5970	-0.5434
151200	-0.2844	-0.3132	-0.5100	-0.4368
154800	-0.3160	-0.2930	-0.3892	-0.3020
158400	-0.3260	-0.2646	-0.2514	-0.1641
162000	-0.3265	-0.2428	-0.1128	-0.0444
165600	-0.3273	-0.2363	0.0136	0.0436
169200	-0.3331	-0.2451	0.1204	0.0967
172800	-0.3418	-0.2610	0.2056	0.1216
176400	-0.3450	-0.2696	0.2719	0.1324
180000	-0.3308	-0.2545	0.3244	0.1453
183600	-0.2871	-0.2028	0.3679	0.1739
187200	-0.2061	-0.1086	0.4048	0.2244
190800	-0.0870	0.0237	0.4336	0.2934
194400	0.0622	0.1795	0.4487	0.3679
198000	0.2251	0.3360	0.4419	0.4285
201600	0.3800	0.4674	0.4047	0.4541
205200	0.5038	0.5499	0.3309	0.4276
208800	0.5767	0.5676	0.2197	0.3408
212400	0.5870	0.5156	0.0769	0.1980
216000	0.5330	0.4021	-0.0851	0.0158
219600	0.4242	0.2465	-0.2485	-0.1798
223200	0.2786	0.0750	-0.3934	-0.3581
226800	0.1193	-0.0846	-0.5011	-0.4906
230400	-0.0304	-0.2092	-0.5581	-0.5567
234000	-0.1520	-0.2847	-0.5582	-0.5487
237600	-0.2349	-0.3090	-0.5042	-0.4731
241200	-0.2779	-0.2914	-0.4068	-0.3487
244800	-0.2887	-0.2492	-0.2826	-0.2023
248400	-0.2802	-0.2028	-0.1500	-0.0624
252000	-0.2669	-0.1702	-0.0262	0.0473
255600	-0.2601	-0.1619	0.0765	0.1134
259200	-0.2651	-0.1780	0.1525	0.1351
262800	-0.2790	-0.2086	0.2028	0.1232
266400	-0.2921	-0.2363	0.2341	0.0971
270000	-0.2906	-0.2413	0.2550	0.0783
273600	-0.2605	-0.2073	0.2738	0.0844
277200	-0.1924	-0.1263	0.2950	0.1240
280800	-0.0849	-0.0020	0.3177	0.1933
284400	0.0539	0.1502	0.3358	0.2773
288000	0.2072	0.3055	0.3394	0.3528
291600	0.3521	0.4356	0.3177	0.3948
295200	0.4652	0.5150	0.2627	0.3831
298800	0.5267	0.5266	0.1718	0.3082
302400	0.5258	0.4665	0.0500	0.1745
306000	0.4626	0.3449	-0.0903	0.0004
309600	0.3485	0.1843	-0.2312	-0.1851
313200	0.2037	0.0139	-0.3525	-0.3490
316800	0.0528	-0.1362	-0.4361	-0.4613
320400	-0.0807	-0.2421	-0.4693	-0.5023
324000	-0.1792	-0.2914	-0.4483	-0.4670
327600	-0.2345	-0.2852	-0.3786	-0.3663
331200	-0.2487	-0.2372	-0.2738	-0.2242
334800	-0.2330	-0.1698	-0.1527	-0.0722
338400	-0.2038	-0.1076	-0.0351	0.0585
342000	-0.1778	-0.0709	0.0623	0.1440
345600	-0.1675	-0.0703	0.1292	0.1734
349200	-0.1775	-0.1040	0.1638	0.1508
352800	-0.2031	-0.1582	0.1716	0.0938
